year,quarter,sentence
2023,2,"Markets was down $293 million , largely driven by the net investment securities losses I mentioned earlier, partially offset by a number of less
notable items primarily in the pr ior year."
2023,2,And Markets revenue was down $772 million or 10% year -on-year.
2023,2,"We ended the quarter with a CET1 ratio of
13.8%, flat versus the prior quarter as the benefit of net income less distributions was offset by the impact of First Republ ic."
2023,2,"About half of the reduction
is associated with the First Republic transaction."
2023,2,"End -of-period deposits were down
4% quarter -on-quarter , as customers continue to spend down their cash buffers, including for seasonal tax payments, and seek higher -yielding
products."
2023,2,"In Home Lending, revenue was down 23% year -on-year, driven by lower NII from tighter loan spreads and lower servicing
and production revenue."
2023,2,"Ori ginations were up quarter -on-quarter , driven by seasonality, although still down 54% year -on-year."
2023,2,"IB fees were down 6% year -on-year and we ranked
number one with year -to-date wallet share of 8.4%."
2023,2,"In Advisory, fees were down 19%."
2023,2,"Underwriting fees were down 6% for debt and up 30%
for equity with more posi tive momentum in the last month of the quarter."
2023,2,"However, year -to-date announced M&A is
down significantly, which will be a headwind."
2023,2,"Moving to Markets, total revenue was $7 billion, down 10% year -on-year."
2023,2,Fixed Income was down 3%.
2023,2,"Equity Markets was down 20% against a very strong prior -year quarter, particularly in derivatives."
2023,2,"Gross
Investment Banking and Markets revenue of $767 milli on was down 3% year -on-year, primarily driven by fewer large M&A deals."
2023,2,"And finally, loans were down 1% quarter -on-quarter, driven by lower securities -based lending and deposits were down 6%."
2023,2,"NIR was a net loss of $782 million and included the net
investment securities losses I mentioned upfront."
2023,2,"And I should take the opportunity to remind you once again that significant sources of uncertainty remain and we
do expect the NII run rate to be substantially below this quarter's run rate at some point in the future as competition for d eposits plays ou t.
Our expense outlook for 2023 remains approximately $84.5 billion."
2023,3,These results included $669 million of net investment securities losses in Corporate and $665 million of Firmwide legal expense.
2023,3,"And Markets
revenue was down $190 million, or 3% year -on-year."
2023,3,"Given that context, the absence of detailed analysis supporting a capital increase of this magnitude is disconcerting and the re's a lot that does
not make sense to us."
2023,3,"The GSIB was conceptually flawed and mis -calibrated
originally; since implementation, the failure to address economic growth, despite the Fed themselves acknowledging this probl em at the o utset
has made matters worse."
2023,3,"And of course, given the absence of a fix to the GSIB flaws it continues to present a headwind into the indefinite futur e. And aside from
those dynamics, there remains the longstanding issue of procyclicality in the over all capital framework."
2023,3,"Th e current proposal
exacerbates existing features that discourage bene ficial scale and diversification."
2023,3,"If it goes through as written, there will likely be significant
impacts on pricing and availability of credit for businesses and consumers."
2023,3,"Consumer spend growth has now reverted to pre -pandemic trends, with
nominal spend per customer stable and relatively flat year -on-year."
2023,3,"End -of-period
deposits were down 3% quarter -on-quarter."
2023,3,"In Home Lending, revenue was down 2% year -on-year, given a smaller market."
2023,3,"Originations of $10.3 billion were up slightly quarter -on-
quarter, but they remain down 15% year -on-year."
2023,3,"Investment Banking revenue of $1.6 billion was
down 6% year -on-year."
2023,3,"IB fees were down 3% year -on-year, and we ranked number one with a year -to-date wallet share of 8.6%."
2023,3,"In Advisory,
fees were down 10%."
2023,3,Underwriting fees wer e up 8% for debt and down 6% for equity.
2023,3,"Advisory has also picked up compared to the first half,  but year -to-date announced M&A remains down significantly, which will
continue to be a headwind."
2023,3,"Moving to Markets – total revenue was $6.6 billion, down 3% year -on-year, against a very strong third quarter last year."
2023,3,"Equity Markets was down 1 0%,
reflecting lower revenues across products compared to a strong prior -year quarter, as activity was challenged by lower volatility."
2023,3,"Credit costs were net benefit of $185 million, driven by a net reserve release of $230 million reflecting the impact of net l ending activity and net
charge -offs of $45 million."
2023,3,"Average deposits were down 7% year -
on-year, 5% quarter -on-quarter, primarily driven by lower non -operating deposits as clients opt for higher yielding alternatives."
2023,3,"C&I loans were flat, reflecting continued stabilization in new loan demand and revolver utilization."
2023,3,"Finally, credit costs were $64 million,  including net charge -offs of $50 million and a net reserve build of $14 million."
2023,3,"Revenue of $4.6 billion was  relatively flat year -on-year, as higher management fees on strong net inflows and higher average market
levels were offset by lower performance fees and lower NII from deposits."
2023,3,"Finally, loans were flat quarter -on-quarter, while de posits were down 5%, driven by migration to investments,
partially offset by client inflows."
2023,3,"And NIR was a net loss of $506 million and included the
net investment securities losses I mentioned upfront."
2023,4,"These
results included the $2.9 billion FDIC special assessment and $743 million of net investment securities losses in Corporate."
2023,4,"And credit costs were $2.6 billion, reflecting net charge -offs of $2.2 billion and a net reserve build of $474 million."
2023,4,"The net re serve build
was primarily driven by loan growth in Card and a deterioration in the outlook related to commercial real estate valuat ions in the Commercial
Bank."
2023,4,"Excluding equity investments, it was flat as fee growth was predominantly offset by deposit -related client credits."
2023,4,"Equity Markets was down 8%, driven by lower revenue in Derivatives and Cash."
2023,4,"Credit costs
were $210 million, reflecting net charge -offs of $121 million and a net reserve build of $89 million."
2023,4,"Average deposits were down 6% year -on-year, primarily
driven by l ower non -operating deposits as clients continued to opt for higher yielding alternatives and flat quarter -on-quarter as client balances
are seasonally higher at year -end."
2023,4,Loans were down 1% quarter -on-quarter.
2023,4,"C&I loans were down 2%, reflecting lower revo lver utilization and muted demand for new loans as
clients remain cautious."
2023,4,"And CRE loans were flat, as higher rates continued to have an impact on originations and payoff acti vity."
2023,4,"Finally,
credit costs were $269 million, including net charge -offs of $127  million and a net reserve build of $142 million, driven by a deterioration in our
commercial real estate valuation outlook."
2023,4,"The decrease in NII reflects lower deposit margins and balance s, partially offset by wider
spreads on loans."
2023,4,Corporate reported a net loss of $689 million.
2023,4,"NIR was a net loss of $687 million,
compared with a net loss of $115 million and included the net investment securities lo sses I mentioned upfront."
2023,4,"On deposits, we
expect balances to be very modestly down from current levels."
2023,4,"Outside of Card, loan growth will
likely remain muted."
2023,4,It's important to note that we just reported a quarterly NII ex.
2023,4,"Combining that with the ful l year guidance of
approximately $88 billion implies meaningful sequential quarterly declines throughout 2024 consistent with what we've been telling you for
some time."
2023,4,"Finally, despite significantly l ower inflation outlook and the economy as a whole, we still see
some residual effects of inflation flowing through most of our expense categories."
2023,4,"On credit, we continue to expect the 2024 Card net charge -off rate to be below 3.5%,
consistent with Investor Day guidance."
2024,1,"And Markets revenue was down
$400 million or 5% year -on-year."
2024,1,"And credit costs were $1.9 billion, reflecting net charge -offs of $2 billion and a net reserve release
of $38 million."
2024,1,"We ended the quarter with a CET1 ratio of 15%, relatively flat versus the prior quarter, reflecting
net income which was predominantly o ffset by higher RWA and capital distribution."
2024,1,"This quarter's higher RWA is largely due to seasonal
effects including higher client activity in Markets and higher risk weights on deferred tax assets, partially offset by lower  Card loans."
2024,1,"I n Banking & Wealth Management, revenue was down 4% year -on-year, reflecting lower NII on lower deposits with
average balances down 7%, as our CD mix increased."
2024,1,"And in Auto, originations were $8.9 billion, down 3%, while we maintained
healthy margins and market share."
2024,1,"In Advisory, fees
were down 21%, driven by fewer large completed deals."
2024,1,"Similarly, while it was encouragi ng to see some positive momentum in
announced M&A in the quarter, it remains to be seen whether that will continue and the Advisory business still faces structural headwinds from
the regulatory environment."
2024,1,"Payments revenue was $2.4 billion, down 1% year-on-year, as deposit margin normalization and deposit -related
client credits were largely offset by higher fee -based revenue and deposit balances."
2024,1,"Moving to Markets, total revenue was $8 billion, down 5% year -on-year."
2024,1,"Fixed income was down 7%, driven by lower activity in Rates and
Commodities compared to a strong prior -year quarter, partially offset by strong results in Securitized Products."
2024,1,Equity Markets was flat.
2024,1,"Expenses of $7.2 bi llion were down 4% year -on-year, predominantly
driven by lower legal expense."
2024,1,"Payments revenue of $1.9 billio n was down 2% year -on-year, driven by lower deposit margins and balances, largely offset by fee growth net
of higher deposit -related client credits."
2024,1,"Average deposits were down 3% year -on-year, primarily driven by lower non -operating deposits and down 1% quarter -on-quarter, reflecting
seasonally lower balances."
2024,1,Loans were flat quarter -on-quarter.
2024,1,"C&I loans were down 1 %, reflecting muted demand for new loans as clients
remain cautious."
2024,1,And CRE loans were flat as higher rates continued to have an impact on originations and payof f activity.
2024,1,Revenue of $4.7 billion was down 1% year -on-year.
2024,1,"And finally, loans were down
1% quarter -on-quarter and deposits were flat."
2024,1,NIR was a net loss of $188 million.
2024,1,"The current  quarter included net investment securities losses of $366 million compared with net securities losses of $868 million in the prior
year quarter."
2024,1,"Our total NII guidance remains approximately $ 90 billion, which implies a decrease in our Market s NII
guidance from around $2 billion to around $1 billion."
2024,1,"The primary driver of that reduction is balance sheet growth and mix sh ift in the Markets
business, and as a reminder, changes in Markets NII a re generally revenue neutral."
2024,1,"And on
credit, we continue to expect the 2024 Card net charge -off rate to be below 3.5%."
2024,2,Also included is $546 million of net investment securities losses in Corporate.
2024,2,"As a reminder, we acquired First Republic in May of last year, so the prior -year quarter  only has two months of First Republic
results compared to the full three months this quarter."
2024,2,Both periods inc luded net investment securities losses.
2024,2,"And credit costs were $3.1 billion, reflecting net charge -offs of $2.2 billion and a net reserve build of $821 million."
2024,2,"In Banking & Wealth Management, revenue was down 5% year -on-year, reflecting lower deposits and deposit margin
compression, partially offset by growth in Wealth Management revenue."
2024,2,"Average deposits were down 7% year-on-year and 1% quarter -on-
quarter."
2024,2,"And in Auto, originations were
$10.8 billion, down 10% coming off strong originations from a year ago, while continuing to maintain healthy margins."
2024,2,"We remain cautiously optimistic
about the pipeline, although many of the same headwinds are still in effect."
2024,2,"Payments revenue was $4.5 billion, down 4% year -on-year, as deposit margin compression and higher deposit -related client credits were
largel y offset by fee growth."
2024,2,"Demand for new loans remains muted as middle market and large corporate clients remain somewhat cautious due to the economic
environment, and revolver utilization continues to be below pre -pandemic levels."
2024,2,"In CRE, higher rates continue to suppress both loan origination an d pay -off activity."
2024,2,"Finally, credit costs were $384 million."
2024,2,"And finally, loans and deposits were both flat quarter -on-quarter."
2024,2,"Excluding Foundation contribution, expenses were down $573 million year -on-year, largely as a result of moving First Republic -related
expense out of Corporate into the relevant  segments."
2024,3,"We ended the quarter with a CET1 ratio of 15.3%, flat versus the prior quarter, as  net income and
OCI gains were offset by capital distributions and higher RWA."
2024,3,"CCB reported net income of $4.0 billion on revenue of $17.8 bil lion, which was
down 3% year -on-year."
2024,3,"In Banking & Wealth Management, revenue was down 11% year -on-year, reflecting deposit margin compression and
lower deposits, partially offset by growth in Wealth Management revenue."
2024,3,Average deposits were down 8% year -on-year and 2% sequentially.
2024,3,"We're seeing a slowdown in customer yield -seeking activity including in CD volumes and expect deposits to be relatively flat for the remainder
of the year."
2024,3,"And in Auto, originati ons were $10
billion, down 2%, while maintaining strong margins and high -quality credit."
2024,3,"In light of the positive momentum throughout the year, we're optimistic about our pipeline, but the M&A regulatory environmen t and
geopolitical situation are continued sources of uncertainty."
2024,3,"Fixed Income was flat reflecting outperformance in Currencies &
Emerging Markets and lower revenue in Rates."
2024,3,"Expenses of $8.8 billion were down 1% year -on-year, with lower legal expense predominantly offset by higher revenue -related compensation
and growth in employees, as well as higher technology spend."
2024,3,Average Banking & Payments loans were down 2% year -on-year and down 1% sequentially.
2024,3,"In the middle market and large corporate client
segments we continue to see softness in both new loan demand and revolver utilization in part due to clients’ access to rec eptive capital
markets."
2024,3,"In multi -family, while we are seeing encouraging signs in loan originations as long -term rates fall, we expect overall growth to remain
muted in the near term as originations are offset by payoff activity."
2024,3,Expenses of $589 million were down $107 million year -on-year.
2024,4,"Markets was down $548 million or 2%, driven by the impact of lower rates and the associated deposit margin
compression, as well as lower deposit balances in CCB, largely offset by the impact of securities reinvestment, higher revolving balances in
Card and higher wholesale deposit balances."
2024,4,Expenses of $22.8 billion were down $1.7 billion or 7% year-on-year.
2024,4,"And credit costs were $2.6 billion,
reflecting net charge-offs of $2.4 billion and a net reserve of $267 million."
2024,4,"The $24 billion decrease in RWA reflects a seasonal decline in Markets activity and lower wholesale lending, which
was predominantly offset by a seasonal increase in Card."
2024,4,"In Banking & Wealth Management, revenue
was down 7% year-on-year on deposit margin compression and lower deposits, partially offset by growth in Wealth Management revenues."
2024,4,Average deposits were down 4% year-on-year and flat sequentially as consumer balances have stabilized.
2024,4,Average Banking & Payments loans were down 2% year-on-year and down 1% sequentially.
2024,4,"Global Corporate & Investment Banking loans were down 2% quarter-on-quarter, driven by paydowns and lower short-term financing,
primarily offset by new originations."
2024,4,"In Commercial Banking, Middle Market loans were also down 2% driven by paydowns, predominantly offset by new originations."
2024,4,"And
Commercial Real Estate loans were flat as new originations were offset by paydowns."
2024,4,"Finally, credit costs were $61 million driven by net downgrade activity and the net impact of
charge-offs, largely offset by a reserve release due to an update to certain loss assumptions."
2024,4,"NII of $2 billion was down $415 million
year-on-year, driven by the impact of lower rates, largely offset by balance sheet actions, primarily securities reinvestment activity."
2024,4,"NIR was a
net loss of $30 million, compared with a net loss of $668 million in the prior year, driven by lower net investment securities losses this quarter."
2024,4,"And expenses of $550 million were down $3 billion year-on-year, predominantly driven by the absence of the FDIC special assessment of $2.9
billion in the prior year."
2024,4,"It's worth noting that the NII decrease is driven by both the cut expected in 2025 and the impact of the 100 basis points of cuts
in the back half of 2024."
2024,4,"We expect healthy Card
loan growth again this year, but below the 12% pace we saw in 2024 as tailwinds from revolve normalization are largely behind us."
2025,1,"Markets was down $430 million, or 2%, driven by the impact of lower rates and deposit margin compression, as well as lower deposit balances
in CCB."
2025,1,"Credit costs were $3.3 billion, with net charge-offs of $2.3 billion and a net reserve build of $973 million."
2025,1,"We ended the quarter with a CET1 ratio of 15.4%, down 30 basis points versus the
prior quarter as net income and OCI gains were more than offset by capital distributions and higher RWA."
2025,1,"In Banking &
Wealth Management, revenue was down 1% year-on-year, driven by lower deposit NII, predominantly offset by growth in Wealth Management
revenue."
2025,1,"Average deposits were down 2% year-on-year and flat sequentially, while end of period deposits were up 2% quarter-on-quarter."
2025,1,"In Equity underwriting, fees were down 9% year-on-year, reflecting challenging market conditions."
2025,1,"Average
Banking & Payments loans were down 3% year-on-year and down 1% sequentially as we continued to observe payoff activity and limited
demand for new loans across client segments."
2025,1,"Finally, credit costs were $705 million, largely driven by the net reserve build."
2025,1,"NII of
$1.7 billion was down $826 million year-on-year."
2025,1,"The current quarter included the significant item I mentioned upfront, while the prior-year quarter included net securities losses of $336 (sic)
[$366] million."
2025,1,"Expenses of $185 million were down $1.1 billion year-on-year, driven by the changes to the FDIC special assessment accruals I mentioned
upfront."
